Zip Code,City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,899000,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22,81,30,315,,,121,
95823,Sacramento,CA,Sacramento,Sacramento,273950,,,,,,,,,,,,,,,,
33908,Fort Myers,FL,Fort Myers,Lee,272950,,,1715777.67,379418.02,,,10966585.33,,,,20,21,,,123,
44256,Medina,OH,Cleveland,Medina,269990,,,,,,,53584.34,,,,,,,,8,
02148,Malden,MA,Boston,Middlesex,380000,,,,544779558.1,,,34128842.37,,,,,1158,,,451,
60620,Chicago,IL,Chicago,Cook,104950,,,172169402.5,,,,487306063.1,,,,405,,,,935,
10028,New York,NY,New York,New York,1725000,,,,24625132.25,,,,,,,,442,,,,
27410,Greensboro,NC,,Guilford,249000,,,,,,,,,,,,,,,,
45011,Hamilton,OH,Cincinnati,Butler,284900,,,,,,,25833103.82,,,,,,,,82,
76063,Mansfield,TX,Dallas-Fort Worth,Tarrant,350000,,,107764.77,,,,39825807.03,,,,4,,,,209,
33647,Tampa,FL,Tampa,Hillsborough,300000,,,,122132.98,,,832441.86,,,,,47,,,74,
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,549500,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22,81,30,315,,,121,
11238,New York,NY,New York,Kings,1096500,,,,479132635.5,,,,,,,,343,,,,
60634,Chicago,IL,Chicago,Cook,290000,,,172169402.5,,,,487306063.1,,,,405,,,,935,
08753,Toms River,NJ,New York,Ocean,279900,,,,907049858.8,,,1874329.46,,,,,846,,,54,
06902,Stamford,CT,Stamford,Fairfield,499000,,,143573.1,67623157.18,,,1943566.71,,,,10,244,,,73,
65203,Columbia,MO,Columbia,Boone,288500,,,,,,,1471308.39,,,,,,,,85,
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,259900,,,4146730.51,5149596.72,,,13349106.35,,,,20,138,,,183,
98103,Seattle,WA,Seattle,King,785950,,,2960015.36,,,,3289894.16,,,,93,,,,117,
92345,Hesperia,CA,Riverside,San Bernardino,270000,,6698698.06,,,,,,,,142,,,,,,
75228,Dallas,TX,Dallas-Fort Worth,Dallas,266500,,,,,,,2753419.78,,,,,,,,128,
92126,San Diego,CA,San Diego,San Diego,575000,,81483289.38,,,,,,,,208,,,,,,
90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1079900,,27406651.26,,,,,,,,273,,,,,,
27406,Greensboro,NC,,Guilford,119900,,,,,,,,,,,,,,,,
60016,Des Plaines,IL,Chicago,Cook,229900,,,172169402.5,,,,487306063.1,,,,405,,,,935,
46307,Crown Point,IN,Chicago,Lake,239990,,14777270.81,3728291.51,,,,67883341.65,,,76,75,,,,279,
76244,Fort Worth,TX,Dallas-Fort Worth,Tarrant,275000,,,,,,,,,,,,,,,,
28314,Fayetteville,NC,Fayetteville,Cumberland,117999,,,1121313.78,21531476.25,,,4408453.76,,,,28,197,,,78,
27610,Raleigh,NC,Raleigh,Wake,194900,,,,2589022.23,,,5718830.33,,,,,78,,,94,
89121,Las Vegas,NV,Las Vegas,Clark,219900,,,44330.81,,,,5038162.82,,,,2,,,,79,
29732,Rock Hill,SC,Charlotte,York,219900,,,9620798.43,,,,,,,,93,,,,,
