City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
Las Vegas,NV,Las Vegas,Clark,219900.0,,,44330.81,,,,5038162.82,,,,2.0,,,,79.0,
Rock Hill,SC,Charlotte,York,219900.0,,,9620798.43,,,,,,,,93.0,,,,,
The Colony,TX,Dallas-Fort Worth,Denton,424990.0,,,,,,,377323.65,,,,,,,,45.0,
Cumming,GA,Atlanta,Forsyth,399900.0,,,63730.28,798868.54,,,4902553.47,,,,8.0,23.0,,,73.0,
Woodstock,GA,Atlanta,Cherokee,372900.0,,,63730.28,798868.54,,,49866883.96,,,,8.0,23.0,,,147.0,
El Paso,TX,El Paso,El Paso,162950.0,,,3561960.19,,,,,,,,66.0,,,,,
Fontana,CA,Riverside,San Bernardino,450000.0,,6698698.06,,,,,,,,142.0,,,,,,
Pasco,WA,Kennewick,Franklin,309475.0,,,1721692.51,1963389.54,,,11715365.26,,,,19.0,65.0,,,168.0,
Washington,DC,Washington,District of Columbia,595000.0,,,,,,,,,,,,,,,,
Houston,TX,Houston,Harris,234990.0,,,48611960.21,260245203.5,,,26701559.42,,,,311.0,554.0,,,360.0,
Chula Vista,CA,San Diego,San Diego,472449.5,,81483289.38,,,,,,,,208.0,,,,,,
College Station,TX,College Station,Brazos,296900.0,,,895172.3,,,,,,,,12.0,,,,,
Riverside,CA,Riverside,Riverside,409993.5,,320645.73,,,,,,,,60.0,,,,,,
Fremont,CA,San Francisco,Alameda,869434.0,,,,,,,,,,,,,,,,
Bayonne,NJ,New York,Hudson,364900.0,,,,57577712.91,,,,,,,,186.0,,,,
Wake Forest,NC,Raleigh,Wake,359990.0,,,1721692.51,2463402.31,,,14817264.24,,,,19.0,100.0,,,225.0,
Hagerstown,MD,Hagerstown,Washington,164900.0,,,7217070.8,22131919.88,,,25202378.25,240346.92,,,39.0,172.0,,,356.0,6.0
New York,NY,New York,Kings,499499.5,,,,479132635.5,,,,,,,,343.0,,,,
Jersey City,NJ,New York,Hudson,859500.0,,,,57577712.91,,,,,,,,186.0,,,,
South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,430000.0,,27406651.26,,,,,,,,273.0,,,,,,
Woodbridge,VA,Washington,Prince William,328000.0,,,,,,,,,,,,,,,,
Philadelphia,PA,Philadelphia,Philadelphia,184000.0,,,6316313.88,30402319.43,,,,,,,129.0,234.0,,,,
Las Vegas,NV,Las Vegas,Clark,369900.0,,,44330.81,,,,5038162.82,,,,2.0,,,,79.0,
Albuquerque,NM,Albuquerque,Bernalillo,227000.0,,,,,,,,,,,,,,,,
Gahanna,OH,Columbus,Franklin,209000.0,,,1721692.51,1963389.54,,,11715365.26,,,,19.0,65.0,,,168.0,
Richmond,KY,Richmond,Madison,187500.0,,,117981.76,158602.07,,,24847361.56,,,,5.0,7.0,,,269.0,
Indianapolis,IN,Indianapolis,Marion,137900.0,,932702.19,1834879.92,9452570.93,,,16681871.83,,,4.0,29.0,42.0,,,239.0,
